@relation polaridad
@attribute positiveadjetive numeric
@attribute negativeadjetive numeric
@attribute conjunction numeric
@attribute class {positive,negative,neutral}
@data
1,0,2,positive
2,0,2,positive
0,0,2,neutral
0,0,2,neutral
0,0,2,neutral
0,0,2,neutral
0,0,2,neutral
0,0,2,neutral
0,0,2,neutral
0,0,2,neutral
1,0,2,positive
8,0,2,positive
18,0,2,positive
6,0,2,positive
7,1,2,positive
8,0,1,positive
6,0,1,positive
10,0,2,positive
4,0,2,positive
6,1,2,positive
2,0,2,positive
0,0,2,neutral
49,0,2,positive
10,0,2,positive
2,0,2,positive
8,0,2,positive
12,0,2,positive
6,0,2,positive
10,0,2,positive
1,0,2,positive
3,0,2,positive
2,0,2,positive
0,0,2,neutral
7,0,2,positive
0,0,2,neutral
3,0,2,positive
1,0,2,positive
3,0,2,positive
3,1,2,positive
8,1,1,positive
10,1,2,positive
1,1,2,neutral
3,1,2,positive
2,0,1,positive
9,1,2,positive
9,0,2,positive
3,0,2,positive
7,0,2,positive
1,0,2,positive
0,0,2,neutral
5,0,2,positive
3,0,1,positive
7,0,2,positive
3,0,2,positive
10,0,2,positive
1,0,2,positive
3,0,2,positive
1,0,1,positive
1,1,2,neutral
0,0,2,neutral
1,0,2,positive
0,0,2,neutral
1,0,2,positive
2,0,2,positive
6,0,2,positive
0,0,2,neutral
4,1,1,positive
6,0,2,positive
1,0,2,positive
0,2,2,negative
9,0,2,positive
3,0,2,positive
3,0,2,positive
7,0,1,positive
4,0,2,positive
9,0,1,positive
1,1,2,neutral
11,1,2,positive
12,2,2,positive
7,2,2,positive
1,0,2,positive
10,0,2,positive
2,0,1,positive
6,0,2,positive
1,0,2,positive
11,0,2,positive
16,0,2,positive
2,0,2,positive
9,1,2,positive
10,0,2,positive
4,0,2,positive
1,0,2,positive
1,0,2,positive
2,1,2,positive
4,0,2,positive
13,1,1,positive
2,0,2,positive
4,0,2,positive
2,0,2,positive
5,1,2,positive
5,0,2,positive
5,0,2,positive
1,1,2,neutral
1,0,2,positive
2,0,2,positive
5,1,2,positive
0,0,2,neutral
0,0,2,neutral
4,1,1,positive
3,0,1,positive
2,1,2,positive
1,1,2,neutral
6,1,2,positive
2,0,2,positive
4,0,2,positive
11,0,2,positive
4,0,2,positive
10,1,2,positive
12,0,1,positive
4,0,2,positive
2,0,2,positive
5,0,2,positive
0,0,1,neutral
1,1,1,neutral
1,1,2,neutral
6,2,1,positive
1,2,2,negative
4,1,2,positive
3,0,1,positive
7,0,2,positive
4,0,1,positive
12,1,2,positive
8,0,2,positive
13,0,2,positive
4,0,2,positive
3,0,2,positive
4,0,2,positive
1,1,2,neutral
3,0,1,positive
0,0,2,neutral
10,0,1,positive
6,3,2,positive
8,0,2,positive
6,0,2,positive
2,0,1,positive
5,0,2,positive
7,0,2,positive
9,1,2,positive
3,1,2,positive
5,1,2,positive
7,0,2,positive
10,0,2,positive
2,0,1,positive
3,0,2,positive
7,0,2,positive
6,0,1,positive
9,2,2,positive
9,1,2,positive
10,1,2,positive
5,0,2,positive
2,0,2,positive
2,0,2,positive
0,0,2,neutral
1,0,1,positive
2,0,2,positive
5,0,2,positive
6,0,2,positive
5,0,2,positive
0,0,1,neutral
4,0,2,positive
3,0,1,positive
1,1,1,neutral
10,1,2,positive
0,0,2,neutral
2,3,2,negative
0,1,1,negative
2,0,2,positive
3,0,2,positive
0,0,1,neutral
1,1,2,neutral
1,0,2,positive
5,1,2,positive
0,0,2,neutral
0,1,2,negative
