@relation polaridad
@attribute positiveadjetive numeric
@attribute negativeadjetive numeric
@attribute punctuation numeric
@attribute class {positive,negative,neutral}
@data
2,0,2,positive
3,1,1,positive
5,1,2,positive
4,0,2,positive
3,0,2,positive
1,0,2,positive
4,0,2,positive
2,1,2,positive
0,1,2,negative
0,1,2,negative
2,1,2,positive
2,1,2,positive
4,1,2,positive
16,0,2,positive
3,0,2,positive
2,1,2,positive
4,0,2,positive
1,0,2,positive
0,1,2,negative
6,0,2,positive
6,0,2,positive
4,0,2,positive
1,0,2,positive
1,0,2,positive
2,0,2,positive
3,0,2,positive
2,0,2,positive
1,0,2,positive
0,0,2,neutral
7,0,2,positive
2,0,2,positive
2,0,2,positive
6,1,2,positive
0,0,2,neutral
0,0,2,neutral
3,0,2,positive
0,0,2,neutral
3,0,2,positive
2,0,2,positive
1,0,1,positive
6,0,2,positive
1,0,2,positive
2,0,2,positive
2,0,2,positive
1,0,2,positive
0,0,2,neutral
3,0,2,positive
1,0,2,positive
1,0,2,positive
0,0,2,neutral
1,0,1,positive
1,0,2,positive
1,0,2,positive
1,0,2,positive
0,0,2,neutral
1,0,2,positive
0,1,2,negative
1,0,2,positive
3,1,1,positive
2,0,2,positive
0,0,2,neutral
1,0,2,positive
1,0,2,positive
1,0,2,positive
4,0,2,positive
1,0,2,positive
6,0,2,positive
3,0,2,positive
7,0,2,positive
6,0,2,positive
2,0,2,positive
6,2,2,positive
2,0,2,positive
6,0,2,positive
2,0,1,positive
1,0,2,positive
0,0,2,neutral
2,0,2,positive
1,0,2,positive
1,0,2,positive
2,0,2,positive
1,0,2,positive
1,0,2,positive
0,0,2,neutral
1,0,2,positive
0,0,2,neutral
0,1,2,negative
2,0,2,positive
1,0,2,positive
2,0,2,positive
0,0,2,neutral
0,0,2,neutral
2,0,2,positive
3,0,2,positive
1,0,2,positive
1,0,2,positive
4,0,2,positive
1,0,2,positive
0,0,2,neutral
1,0,2,positive
0,0,2,neutral
3,0,2,positive
1,0,2,positive
0,0,2,neutral
0,1,2,negative
3,0,2,positive
2,0,2,positive
0,0,2,neutral
1,0,2,positive
2,0,2,positive
2,0,2,positive
2,0,2,positive
2,0,2,positive
1,0,2,positive
4,0,2,positive
0,0,2,neutral
1,0,2,positive
0,0,2,neutral
5,0,2,positive
0,1,2,negative
1,0,2,positive
4,0,2,positive
2,0,2,positive
0,0,2,neutral
4,0,2,positive
1,0,2,positive
0,0,2,neutral
1,0,2,positive
2,1,2,positive
1,0,2,positive
2,1,2,positive
2,0,2,positive
6,1,2,positive
2,0,2,positive
3,1,2,positive
1,1,2,neutral
2,0,2,positive
4,0,1,positive
6,1,2,positive
3,0,2,positive
2,0,2,positive
1,0,2,positive
3,0,2,positive
3,0,2,positive
2,0,2,positive
4,0,2,positive
0,0,2,neutral
4,0,2,positive
0,0,2,neutral
